Id,SalePrice
1461,114752.0490070046
1462,138276.08269209848
1463,184681.81958271074
1464,194424.2358773348
1465,194611.02082329136
1466,174053.87068115815
1467,182730.0409982607
1468,170143.2985177616
1469,188009.081347521
1470,121930.54910906793
1471,191983.3786625376
1472,96923.44894771565
1473,101016.57108860175
1474,149393.7746192733
1475,118379.58360467559
1476,359594.4647901527
1477,262127.62484846023
1478,290408.52613160975
1479,274542.8756462249
1480,492943.4661710451
1481,324812.3365492693
1482,210043.423102665
1483,183311.06101185927
1484,164527.64135365456
1485,187113.1747493774
1486,194022.0314459507
1487,345250.90064927214
1488,232533.9794887292
1489,202897.11049965615
1490,248432.84848881533
1491,188845.71346972603
1492,81276.25292921379
1493,179889.84341520543
1494,322309.26033856435
1495,287925.4464621192
1496,245101.9181249662
1497,197307.92820346082
1498,163998.41671805867
1499,158170.94123187938
1500,153085.17407973655
1501,179254.6720960238
1502,150733.10498876162
1503,278325.5706838896
1504,248685.54891249715
1505,233497.34785137614
1506,197128.1890175221
1507,255288.2278516461
1508,205765.51749889815
1509,161574.5821559189
1510,144377.63767231785
1511,151523.86523478274
1512,181737.9960870409
1513,142039.19725382485
1514,124654.61765820745
1515,200848.94092604629
1516,161835.57325301578
1517,171585.4108026762
1518,134687.35153627227
1519,222063.03551171554
1520,133404.58749553512
1521,124813.93096890456
1522,174520.5461883819
1523,113870.28247973947
1524,129758.46607792596
1525,124378.11310145597
1526,113635.27229078364
1527,107740.836236252
1528,137924.13053282988
1529,144055.83997314697
1530,191088.92608125365
1531,94312.97998653454
1532,102324.34790660908
1533,147538.90725277908
1534,121761.68768964335
1535,142374.06858168732
1536,105952.6055265774
1537,32788.1512270385
1538,151437.84294565654
1539,219730.70812562172
1540,84109.90390416251
1541,139396.46302893222
1542,138852.214253238
1543,198941.52614146046
1544,85414.25094406672
1545,118963.64817747033
1546,132645.6429633628
1547,133173.29986943436
1548,139383.96229335942
1549,121361.35504373854
1550,136366.5913926541
1551,110854.0319096759
1552,140601.0820681737
1553,149450.3625483143
1554,121715.15542725356
1555,170210.12978508678
1556,97141.34615671232
1557,102345.35067243526
1558,97076.67981760336
1559,84600.48292721677
1560,124568.46639655894
1561,132535.80567127385
1562,135149.13061259032
1563,127530.00657475357
1564,162682.36345279188
1565,157083.37203653474
1566,262686.01874227
1567,80234.95460054808
1568,231945.64418577138
1569,126220.982650987
1570,142155.51908080917
1571,123334.95862072904
1572,139582.77924394826
1573,276624.8170536828
1574,113797.27703445256
1575,255161.14711385238
1576,233191.63254883647
1577,187249.62581305494
1578,140784.77020147516
1579,153409.8540858691
1580,191771.30717633665
1581,152243.66264798128
1582,129367.51288382267
1583,315965.18558118644
1584,230964.77498552733
1585,140920.3008357708
1586,74024.05738987048
1587,118224.92506505233
1588,146768.80726702107
1589,80160.38506787016
1590,133255.7761549444
1591,98435.04921207625
1592,112532.07534240143
1593,124823.76027235872
1594,143740.70153523277
1595,104835.40988462168
1596,247005.42780563535
1597,201463.6208247824
1598,208525.47995542208
1599,183460.54124282813
1600,170236.81223232328
1601,71661.04879951235
1602,111250.53665531988
1603,66202.73258260677
1604,263911.41431625444
1605,249659.82986758603
1606,178184.4856512362
1607,175679.5948635172
1608,217052.86962383828
1609,183236.35620858354
1610,160977.06708664488
1611,146523.97858445262
1612,173764.394095969
1613,167987.36740271308
1614,117404.318858066
1615,86130.24343340452
1616,83985.51953888223
1617,92416.33656560718
1618,128928.6043729841
1619,145259.71318415008
1620,161359.4596616275
1621,140573.4306185823
1622,157673.01862597273
1623,286561.69081650215
1624,223681.83276949907
1625,119764.82394980986
1626,167959.07515009743
1627,190486.809004046
1628,276784.0092007723
1629,182432.957663192
1630,374630.3948972866
1631,230054.41254294527
1632,242084.26576138692
1633,175920.1285497669
1634,187410.11178008086
1635,180301.8516315207
1636,160078.94212873565
1637,196700.42978315774
1638,170735.99651142294
1639,185731.88439952087
1640,249569.41168527398
1641,183481.07411737822
1642,241572.16431557178
1643,228462.26465961876
1644,239378.46924368222
1645,217270.68028759465
1646,163004.93620167277
1647,156855.53049340585
1648,129523.07705617718
1649,142408.38501402445
1650,96598.77181007045
1651,124679.70601780886
1652,103488.71725519797
1653,100769.63739873427
1654,148132.25409681228
1655,131486.2138588544
1656,142952.70422600675
1657,151300.04411069318
1658,147132.59978026722
1659,127198.76397092991
1660,149550.00719339802
1661,457281.3967015113
1662,400871.59063786577
1663,390625.5129523718
1664,570294.5716387614
1665,322392.799503232
1666,315465.82265533804
1667,389764.01508137066
1668,335439.22770455445
1669,306920.2844965664
1670,338119.597296605
1671,269663.5469873731
1672,449191.5917161083
1673,298883.0750442684
1674,253757.25467401248
1675,205178.10243365084
1676,196947.1613173576
